"","month","EVENT_TYPE","STATE","CROPDMG","PROPDMG","FATALITIES","INJURIES","DMG","health_impact"
"1",1,"AVALANCHE","AK",0,536000,3,3,536000,6
"2",1,"AVALANCHE","CA",0,0,3,3,0,6
"3",1,"AVALANCHE","CO",0,401800,9,5,401800,14
"4",1,"AVALANCHE","ID",0,16000,5,6,16000,11
"5",1,"AVALANCHE","MT",0,0,6,1,0,7
"6",1,"AVALANCHE","NH",0,0,1,1,0,2
"7",1,"AVALANCHE","OR",0,0,2,1,0,3
"8",1,"AVALANCHE","UT",0,0,11,1,0,12
"9",1,"AVALANCHE","WA",0,1e+06,11,2,1e+06,13
"10",1,"AVALANCHE","WY",0,0,7,1,0,8
"11",1,"BLIZZARD","AK",0,0,1,2,0,3
"12",1,"BLIZZARD","DE",0,1e+06,0,0,1e+06,0
"13",1,"BLIZZARD","IA",0,625000,1,3,625000,4
"14",1,"BLIZZARD","ID",0,242000,0,1,242000,1
"15",1,"BLIZZARD","MD",0,160000,2,150,160000,152
"16",1,"BLIZZARD","MI",0,25000,0,0,25000,0
"17",1,"BLIZZARD","MN",0,3e+05,3,0,3e+05,3
"18",1,"BLIZZARD","MT",0,50000,0,0,50000,0
"19",1,"BLIZZARD","ND",0,74223000,5,75,74223000,80
"20",1,"BLIZZARD","NE",0,10000,1,0,10000,1
"21",1,"BLIZZARD","NJ",0,18800000,3,0,18800000,3
"22",1,"BLIZZARD","PA",0,18970000,7,0,18970000,7
"23",1,"BLIZZARD","SD",0,1e+06,3,15,1e+06,18
"24",1,"BLIZZARD","UT",0,4e+07,3,50,4e+07,53
"25",1,"BLIZZARD","VA",0,350000,1,1,350000,2
"26",1,"BLIZZARD","WI",0,11000,1,5,11000,6
"27",1,"BLIZZARD","WY",0,15000,0,0,15000,0
"28",1,"COASTAL FLOOD","AL",0,5000,0,0,5000,0
"29",1,"COASTAL FLOOD","CA",0,5e+05,0,0,5e+05,0
"30",1,"COASTAL FLOOD","DE",0,3300000,0,0,3300000,0
"31",1,"COASTAL FLOOD","GA",0,15000,0,0,15000,0
"32",1,"COASTAL FLOOD","MA",0,385000,0,0,385000,0
"33",1,"COASTAL FLOOD","MD",0,1510000,0,0,1510000,0
"34",1,"COASTAL FLOOD","ME",0,12000,0,0,12000,0
"35",1,"COASTAL FLOOD","NH",0,7500,0,0,7500,0
"36",1,"COASTAL FLOOD","NJ",0,29700000,0,0,29700000,0
"37",1,"COASTAL FLOOD","PR",0,35000,0,0,35000,0
"38",1,"COASTAL FLOOD","TX",0,5000,0,0,5000,0
"39",1,"COASTAL FLOOD","VA",0,1500000,0,0,1500000,0
"40",1,"COLD/WIND CHILL","AK",0,6000,1,0,6000,1
"41",1,"COLD/WIND CHILL","AL",0,0,2,0,0,2
"42",1,"COLD/WIND CHILL","AR",0,7e+05,1,0,7e+05,1
"43",1,"COLD/WIND CHILL","AZ",0,120000,0,0,120000,0
"44",1,"COLD/WIND CHILL","CA",1750000,230000,1,0,1980000,1
"45",1,"COLD/WIND CHILL","FL",284130000,0,3,1,284130000,4
"46",1,"COLD/WIND CHILL","GA",0,0,1,0,0,1
"47",1,"COLD/WIND CHILL","IA",0,1e+06,2,0,1e+06,2
"48",1,"COLD/WIND CHILL","ID",0,50000,0,0,50000,0
"49",1,"COLD/WIND CHILL","IL",0,0,22,6,0,28
"50",1,"COLD/WIND CHILL","IN",0,5e+06,7,0,5e+06,7
"51",1,"COLD/WIND CHILL","KS",0,4000,0,0,4000,0
"52",1,"COLD/WIND CHILL","KY",0,8000,0,0,8000,0
"53",1,"COLD/WIND CHILL","LA",1e+05,4e+05,3,0,5e+05,3
"54",1,"COLD/WIND CHILL","MA",0,0,1,3,0,4
"55",1,"COLD/WIND CHILL","ME",0,0,1,0,0,1
"56",1,"COLD/WIND CHILL","MI",0,51250000,8,30,51250000,38
"57",1,"COLD/WIND CHILL","MN",0,0,2,0,0,2
"58",1,"COLD/WIND CHILL","MO",0,5e+06,2,21,5e+06,23
"59",1,"COLD/WIND CHILL","MS",0,5e+05,1,0,5e+05,1
"60",1,"COLD/WIND CHILL","MT",0,0,1,0,0,1
"61",1,"COLD/WIND CHILL","NC",0,5e+05,12,0,5e+05,12
"62",1,"COLD/WIND CHILL","ND",0,0,1,0,0,1
"63",1,"COLD/WIND CHILL","NE",0,850000,0,0,850000,0
"64",1,"COLD/WIND CHILL","NH",0,0,1,1,0,2
"65",1,"COLD/WIND CHILL","NM",0,0,6,0,0,6
"66",1,"COLD/WIND CHILL","NV",0,50000,2,0,50000,2
"67",1,"COLD/WIND CHILL","NY",0,0,2,0,0,2
"68",1,"COLD/WIND CHILL","OH",0,211000,5,0,211000,5
"69",1,"COLD/WIND CHILL","OK",0,6e+05,5,0,6e+05,5
"70",1,"COLD/WIND CHILL","PA",0,5025000,8,129,5025000,137
"71",1,"COLD/WIND CHILL","SC",0,0,6,0,0,6
"72",1,"COLD/WIND CHILL","TN",0,0,5,0,0,5
"73",1,"COLD/WIND CHILL","TX",0,125000,5,0,125000,5
"74",1,"COLD/WIND CHILL","VA",0,5000,1,0,5000,1
"75",1,"COLD/WIND CHILL","WA",0,0,3,0,0,3
"76",1,"COLD/WIND CHILL","WI",0,30000,3,13,30000,16
"77",1,"COLD/WIND CHILL","WV",0,5030000,3,5,5030000,8
"78",1,"DEBRIS FLOW","AS",0,40000,0,0,40000,0
"79",1,"DEBRIS FLOW","CA",0,477500,10,0,477500,10
"80",1,"DEBRIS FLOW","CO",0,185000,1,12,185000,13
"81",1,"DEBRIS FLOW","ID",0,30000,0,0,30000,0
"82",1,"DEBRIS FLOW","MT",0,5000,0,0,5000,0
"83",1,"DEBRIS FLOW","NC",0,2e+05,0,2,2e+05,2
"84",1,"DEBRIS FLOW","OR",0,470000,0,5,470000,5
"85",1,"DEBRIS FLOW","PA",0,50000,0,0,50000,0
"86",1,"DEBRIS FLOW","PR",0,5000,1,1,5000,2
"87",1,"DEBRIS FLOW","WA",0,13048000,4,0,13048000,4
"88",1,"DENSE FOG","CA",0,2560000,7,108,2560000,115
"89",1,"DENSE FOG","ID",0,10000,0,0,10000,0
"90",1,"DENSE FOG","IN",0,420000,0,0,420000,0
"91",1,"DENSE FOG","KS",0,0,1,0,0,1
"92",1,"DENSE FOG","LA",0,115000,1,70,115000,71
"93",1,"DENSE FOG","ME",0,0,0,24,0,24
"94",1,"DENSE FOG","NE",0,40000,0,0,40000,0
"95",1,"DENSE FOG","NY",0,0,0,2,0,2
"96",1,"DENSE FOG","OH",0,150000,0,0,150000,0
"97",1,"DENSE FOG","OR",0,10000,1,5,10000,6
"98",1,"DENSE FOG","UT",0,7e+05,2,15,7e+05,17
"99",1,"DENSE FOG","WA",0,140000,0,3,140000,3
"100",1,"DROUGHT","OK",750000,15775000,0,0,16525000,0
"101",1,"DROUGHT","TX",1040295000,8e+06,0,0,1048295000,0
"102",1,"DUST STORM","AZ",0,96000,2,46,96000,48
